STATURE,BMI,MASS,HEAD_CIRC
1758,24.4,75.3,578
1783,30.5,96.8,591
1761,27.6,85.7,592
1801,26.6,86.3,576
1831,30.7,102.9,583
1707,21.5,62.7,538
1811,21.2,69.5,586
1661,21.8,60.2,551
1727,24.7,73.7,595
1712,22.3,65.2,558
1850,22.6,77.3,548
1745,27.5,83.8,542
1776,22.9,72.1,584
1853,25.5,87.7,574
1772,25.5,80.1,567
1705,26.9,78.1,580
1821,27.5,91.2,580
1706,31.0,90.2,565
1769,31.8,99.5,568
1858,26.3,90.8,573
1716,25.5,75.0,577
1673,23.8,66.6,553
1747,22.2,67.8,570
1742,21.5,65.3,547
1811,26.8,88.0,575
1807,25.5,83.4,571
1560,22.7,55.2,547
1797,28.2,91.2,587
1720,24.7,73.0,543
1805,22.1,72.1,574
1676,25.8,72.6,549
1761,27.5,85.2,586
1752,26.8,82.2,553
1785,24.6,78.3,569
1821,25.6,84.7,580
1685,29.0,82.3,568
1710,30.7,89.7,552
1797,26.4,85.3,560
1788,24.3,77.6,564
1723,24.8,73.6,568
1802,20.4,66.4,538
1642,27.4,73.9,552
1775,31.4,98.8,587
1775,25.1,79.1,566
1792,27.5,88.3,571
1762,23.0,71.5,572
1789,23.4,74.7,557
1759,27.0,83.6,557
1726,25.9,77.1,570
1702,21.8,63.0,553
1700,26.6,76.9,581
1795,26.9,86.5,564
1840,22.7,77.0,567
1831,24.2,81.1,561
1698,25.4,73.1,554
1708,29.9,87.3,582
1703,25.1,72.7,575
1810,30.8,100.9,593
1792,26.2,84.1,575
1710,27.5,80.3,550
1688,26.4,75.2,569
1712,24.9,73.0,564
1762,25.3,78.6,565
1793,26.0,83.6,580
1746,28.8,87.9,572
1846,26.3,89.6,559
1747,21.6,65.9,588
1755,24.9,76.5,563
1676,29.7,83.4,589
1830,24.2,80.9,592
1683,26.4,74.7,563
1725,22.7,67.5,560
1826,27.1,90.5,603
1744,25.3,76.9,537
1743,24.9,75.6,564
1755,23.9,73.6,574
1722,30.5,90.5,560
1723,22.9,68.1,568
1690,19.5,55.7,571
1727,22.4,66.7,558
1701,23.4,67.6,535
1757,25.1,77.5,562
1703,25.0,72.5,544
1857,29.4,101.3,574
1737,27.6,83.4,580
1647,26.9,73.0,562
1836,23.5,79.3,572
1805,30.5,99.5,587
1726,27.3,81.2,600
1765,26.1,81.2,581
1725,18.6,55.3,539
1713,25.8,75.6,557
1751,29.8,91.2,584
1723,26.3,78.0,554
1671,27.1,75.8,549
1843,26.9,91.4,580
1812,33.6,110.3,579
1745,24.8,75.4,564
1707,29.9,87.0,569
1736,27.4,82.5,575
1835,22.6,75.9,568
1825,23.5,78.3,568
1770,25.2,79.0,558
1727,28.2,84.0,567
1778,25.8,81.4,575
1711,29.3,85.8,576
1902,25.7,93.0,565
1728,27.3,81.5,563
1862,23.1,80.2,566
1762,27.8,86.3,543
1812,21.9,72.1,558
1773,25.0,78.6,581
1766,25.3,78.8,572
1715,25.8,75.9,571
1663,27.8,76.9,572
1754,27.5,84.6,573
1797,25.7,83.0,563
1749,24.5,74.9,578
1846,28.1,95.7,581
1785,28.1,89.4,579
1707,27.4,79.8,545
1755,24.0,73.8,572
1806,28.0,91.3,602
1628,27.4,72.6,553
1767,27.0,84.4,573
1811,24.6,80.6,582
1683,24.8,70.1,549
1703,26.4,76.5,569
1694,26.2,75.3,550
1872,29.1,101.9,576
1627,23.3,61.6,560
1773,25.6,80.4,559
1712,23.6,69.3,543
1792,21.7,69.7,567
1756,28.0,86.4,566
1788,23.6,75.4,567
1664,27.8,76.9,560
1760,27.4,85.0,546
1728,27.8,82.9,549
1784,23.6,75.2,565
1791,26.4,84.8,558
1759,32.2,99.6,564
1613,23.2,60.4,554
1733,23.5,70.6,554
1723,26.0,77.2,570
1699,32.0,92.5,558
1636,26.3,70.4,522
1721,28.8,85.3,546
1873,26.9,94.2,565
1724,23.9,71.2,562
1679,27.6,77.8,575
1853,27.1,93.1,557
1821,24.3,80.5,570
1709,21.3,62.2,578
1832,26.9,90.2,567
1847,26.7,91.0,583
1834,24.0,80.6,588
1732,31.8,95.3,590
1795,26.2,84.3,559
1673,31.1,87.0,565
1674,30.0,84.1,566
1802,25.8,83.9,573
1721,24.0,71.1,557
1844,35.0,119.1,602
1728,21.4,64.0,544
1694,26.3,75.5,551
1708,25.8,75.2,570
1760,22.9,71.1,563
1774,24.7,77.8,558
1844,27.3,92.8,574
1742,26.2,79.6,559
1774,22.9,72.1,551
1743,23.9,72.7,561
1798,26.7,86.4,583
1832,27.8,93.3,580
1797,30.2,97.5,570
1792,30.4,97.5,582
1713,29.9,87.8,590
1715,22.1,65.0,582
1579,23.4,58.4,550
1744,25.5,77.5,564
1757,28.0,86.5,601
1684,21.1,59.8,543
1714,29.4,86.4,571
1817,28.7,94.9,597
1678,22.5,63.3,565
1798,28.1,90.7,573
1702,26.9,77.8,563
1793,23.6,76.0,582
1694,22.7,65.0,541
1698,23.8,68.5,560
1854,28.9,99.4,583
1796,26.1,84.1,564
1858,28.7,99.0,575
1842,29.9,101.4,580
1732,25.9,77.6,587
1722,22.2,65.9,553
1675,22.9,64.2,568
1809,24.1,78.8,580
1851,24.0,82.3,533
1758,20.3,62.8,528
1694,23.4,67.1,548
1730,26.4,78.9,540
1740,22.8,69.0,552
1867,21.5,75.0,593
1613,28.2,73.5,564
1734,28.5,85.7,563
1763,23.6,73.4,577
1768,21.5,67.3,571
1790,25.4,81.3,590
1778,33.6,106.3,583
1805,23.1,75.4,569
1734,20.9,62.9,556
1868,25.3,88.3,597
1746,26.2,80.0,582
1497,25.4,57.0,537
1748,24.0,73.3,567
1867,32.6,113.6,608
1670,28.5,79.5,572
1828,34.2,114.3,562
1758,23.9,73.8,577
1673,27.3,76.4,576
1830,25.6,85.6,558
1859,24.7,85.2,576
1738,23.7,71.5,579
1658,25.9,71.3,568
1638,21.7,58.2,562
1769,27.5,85.9,585
1796,22.4,72.4,567
1658,23.7,65.2,558
1670,26.8,74.6,544
1863,20.8,72.2,572
1669,26.4,73.4,571
1665,30.7,85.1,558
1701,21.7,62.7,555
1723,25.5,75.6,571
1744,26.6,81.0,581
1732,24.7,74.1,558
1792,27.7,89.1,577
1705,25.6,74.5,577
1775,23.0,72.4,565
1676,29.1,81.9,555
1765,27.3,85.0,569
1732,26.3,78.8,556
2042,20.8,86.6,568
1719,27.2,80.5,580
1755,27.6,85.1,579
1880,23.6,83.3,565
1880,25.4,89.7,582
1652,29.7,81.0,572
1767,31.1,96.9,580
1831,30.4,102.0,573
1832,27.8,93.3,574
1843,25.5,86.5,593
1850,29.4,100.7,582
1693,28.9,83.0,588
1856,30.0,103.4,562
1807,23.2,75.7,556
1796,26.9,86.7,561
1817,24.2,79.9,569
1705,20.5,59.6,551
1757,26.9,83.1,562
1737,23.9,72.0,565
1812,31.0,101.7,592
1701,22.3,64.6,575
1708,23.4,68.3,535
1780,32.7,103.6,556
1757,26.9,83.2,573
1785,30.6,97.3,588
1762,29.0,90.1,575
1668,30.8,85.6,582
1893,22.7,81.2,564
1670,22.8,63.7,544
1826,25.2,84.1,570
1848,22.4,76.5,582
1702,27.2,78.8,572
1841,22.1,74.9,571
1674,23.0,64.4,578
1725,27.7,82.5,581
1730,26.1,78.1,569
1701,27.4,79.4,567
1724,25.9,77.1,573
1786,26.2,83.7,554
1774,26.3,82.9,564
1746,33.9,103.5,582
1702,34.8,100.8,566
1845,24.7,84.2,577
1774,26.7,83.9,547
1777,25.3,80.0,567
1719,29.4,86.8,545
1756,25.4,78.2,562
1692,24.0,68.6,581
1784,29.3,93.4,578
1902,20.6,74.7,562
1804,23.9,77.9,600
1755,25.6,78.8,573
1736,22.8,68.6,552
1690,24.4,69.7,570
1735,19.8,59.6,564
1745,27.2,82.8,585
1700,30.1,87.0,577
1786,29.9,95.2,594
1834,30.9,104.1,607
1754,28.7,88.2,558
1832,27.1,90.9,573
1628,22.6,59.8,514
1680,20.8,58.8,558
1728,27.3,81.5,552
1768,24.9,78.0,586
1840,25.3,85.6,573
1741,27.8,84.4,567
1843,26.5,89.9,585
1657,26.5,72.7,573
1862,27.2,94.2,576
1787,22.6,72.2,553
1835,25.5,85.8,578
1776,22.6,71.2,537
1826,26.0,86.8,573
1620,23.0,60.4,553
1847,21.0,71.7,561
1796,27.0,87.2,540
1818,28.1,92.9,583
1783,23.3,74.2,578
1707,22.6,65.7,582
1791,22.8,73.2,575
1615,20.0,52.1,544
1735,23.3,70.1,547
1763,24.5,76.2,580
1683,25.7,72.7,556
1724,22.3,66.4,557
1785,25.1,80.1,565
1693,23.2,66.6,552
1694,21.4,61.4,543
1718,24.9,73.4,566
1733,28.7,86.3,575
1613,24.8,64.5,538
1776,23.3,73.6,556
1700,23.1,66.9,555
1705,25.2,73.3,540
1756,27.6,85.0,582
1850,23.4,80.1,588
1785,25.9,82.4,577
1688,22.6,64.5,580
1661,23.5,64.9,549
1830,27.0,90.3,603
1910,23.9,87.4,572
1762,25.7,79.8,572
1834,27.6,92.7,600
1767,21.8,68.0,577
1706,26.2,76.1,564
1775,26.4,83.3,577
1693,22.3,64.0,559
1673,23.9,66.9,554
1715,21.9,64.5,542
1747,24.1,73.7,587
1787,22.4,71.5,549
1743,31.6,96.0,572
1693,28.2,80.9,557
1762,29.3,90.9,596
1709,26.5,77.5,564
1810,26.5,86.9,577
1694,23.2,66.5,562
1774,28.1,88.4,561
1788,23.8,75.9,567
1847,28.2,96.1,587
1759,26.1,80.6,551
1725,23.6,70.3,569
1795,24.7,79.7,567
1781,24.5,77.7,540
1705,29.8,86.7,578
1768,23.2,72.7,581
1664,20.7,57.3,542
1744,27.2,82.9,582
1858,28.9,99.9,578
1870,25.2,88.0,565
1775,22.1,69.7,566
1763,30.2,93.8,563
1772,28.9,90.8,594
1868,24.0,83.7,592
1825,25.8,86.0,583
1742,24.1,73.0,566
1835,20.0,67.5,563
1728,29.7,88.7,559
1600,25.8,65.9,565
1762,25.6,79.6,556
1845,27.0,91.9,567
1822,28.2,93.8,585
1769,27.6,86.3,571
1770,34.5,108.0,574
1765,26.1,81.5,577
1759,24.1,74.6,563
1646,22.4,60.7,550
1723,25.5,75.7,553
1743,26.1,79.4,586
1737,24.7,74.4,564
1811,27.7,90.7,572
1723,26.2,77.8,566
1711,27.3,79.9,565
1745,24.7,75.1,580
1615,24.2,63.1,532
1775,24.8,78.0,547
1687,28.4,80.9,558
1786,25.9,82.8,562
1647,20.2,54.8,543
1765,26.6,82.8,569
1795,24.9,80.2,566
1671,27.7,77.4,573
1825,22.7,75.7,565
1879,26.0,91.7,573
1695,22.5,64.5,551
1768,26.4,82.6,555
1734,26.4,79.4,548
1649,29.0,78.9,555
1848,27.3,93.3,586
1837,22.8,76.9,559
1792,29.7,95.5,606
1744,25.2,76.8,567
1652,18.6,50.8,518
1596,26.9,68.6,568
1844,32.7,111.3,592
1821,30.5,101.1,599
1656,25.5,69.8,568
1722,27.7,82.0,536
1804,24.3,79.1,566
1682,26.1,73.9,565
1820,27.5,91.2,574
1721,26.8,79.4,565
1750,28.0,85.8,545
1694,27.2,78.2,554
1712,24.0,70.4,590
1801,26.6,86.4,562
1713,26.8,78.6,596
1735,18.1,54.6,532
1702,29.6,85.6,536
1720,24.6,72.8,557
1733,28.9,86.9,578
1838,22.8,77.2,581
1765,26.9,83.9,576
1837,20.7,69.7,569
1704,20.9,60.7,545
1700,24.8,71.6,550
1722,21.1,62.7,577
1712,20.6,60.4,557
1795,27.1,87.2,585
1722,20.7,61.5,563
1742,22.2,67.3,560
1806,22.9,74.6,561
1753,27.1,83.3,548
1754,29.8,91.6,560
1847,23.9,81.5,566
1940,21.8,82.0,571
1804,24.4,79.5,582
1773,25.5,80.0,554
1718,25.8,76.1,569
1694,29.6,84.9,563
1807,23.1,75.4,557
1710,21.7,63.4,570
1805,26.4,85.9,578
1726,26.8,79.8,567
1841,31.4,106.3,580
1782,26.3,83.6,563
1855,27.2,93.6,568
1717,22.6,66.6,558
1871,24.5,85.8,580
1747,23.2,70.7,569
1756,29.9,92.0,554
1738,29.3,88.5,592
1845,31.0,105.5,579
1718,23.4,69.2,549
1766,24.0,74.7,560
1872,28.7,100.6,573
1743,26.6,80.7,556
1726,26.2,78.0,566
1785,32.1,102.3,599
1842,28.2,95.8,575
1774,21.2,66.8,577
1855,25.1,86.3,575
1753,27.3,84.0,576
1800,25.4,82.4,558
1820,27.5,91.2,574
1752,24.6,75.5,572
1768,22.7,70.9,568
1734,26.0,78.2,556
1836,26.9,90.5,572
1643,29.0,78.3,547
1703,23.7,68.7,538
1792,23.6,75.8,556
1835,25.8,86.8,575
1664,22.3,61.8,536
1695,26.2,75.4,561
1685,21.0,59.7,565
1820,20.6,68.1,568
1743,30.7,93.3,578
1703,28.5,82.8,561
1694,23.3,66.8,560
1808,30.5,99.7,582
1654,20.8,56.8,551
1915,23.5,86.3,574
1645,26.7,72.2,555
1760,27.2,84.3,555
1754,29.2,89.8,585
1717,32.2,94.9,529
1658,33.8,93.0,575
1862,27.6,95.7,582
1791,32.7,105.0,574
1738,23.2,70.1,560
1662,23.8,65.9,550
1813,23.2,76.4,563
1786,26.2,83.5,568
1641,31.9,85.8,570
1685,30.6,86.9,563
1739,24.6,74.3,566
1705,21.2,61.7,535
1837,26.8,90.3,550
1698,27.8,80.0,573
1725,26.0,77.5,550
1897,25.9,93.2,590
1796,29.4,94.8,582
1805,25.9,84.3,562
1728,23.6,70.5,555
1670,29.1,81.2,566
1799,28.9,93.5,563
1771,35.2,110.4,591
1715,32.3,95.0,576
1748,26.7,81.5,568
1811,23.8,78.1,582
1828,24.3,81.3,571
1798,25.7,83.2,580
1758,23.6,73.1,554
1865,33.3,115.9,594
1767,28.2,88.2,564
1745,25.6,78.1,558
1695,25.1,72.0,588
1823,22.5,74.8,583
1830,25.7,86.1,573
1859,26.8,92.7,592
1678,28.5,80.2,577
1703,22.6,65.4,565
1886,29.0,103.0,581
1711,26.4,77.4,566
1705,25.9,75.3,554
1850,24.1,82.5,570
1678,22.6,63.5,568
1753,24.9,76.7,586
1746,30.3,92.3,568
1751,24.8,76.2,561
1784,22.6,71.8,585
1836,28.0,94.5,588
1834,32.2,108.3,548
1741,25.1,76.0,575
1806,26.4,85.9,576
1816,24.1,79.5,570
1900,26.2,94.5,579
1712,24.8,72.7,539
1863,24.8,86.0,563
1765,24.4,75.9,568
1755,22.7,69.8,572
1698,26.0,74.9,576
1732,30.4,91.0,569
1771,24.5,77.0,575
1785,22.3,71.0,566
1769,27.4,85.7,587
1767,26.0,81.1,586
1730,24.9,74.4,553
1721,26.5,78.5,556
1756,25.4,78.2,564
1765,26.4,82.3,595
1712,22.3,65.4,535
1732,24.2,72.6,552
1750,26.7,81.9,562
1660,27.5,75.8,556
1721,21.7,64.3,571
1777,21.1,66.7,568
1820,23.6,78.2,558
1841,29.4,99.8,611
1769,24.3,76.1,560
1792,22.8,73.1,542
1723,21.8,64.8,562
1595,25.7,65.4,538
1775,29.1,91.7,606
1660,22.0,60.7,540
1770,28.9,90.6,593
1630,23.8,63.2,550
1834,22.5,75.5,564
1690,26.1,74.5,568
1721,28.4,84.0,575
1713,22.3,65.4,561
1763,27.7,86.0,583
1700,25.3,73.2,582
1692,30.7,87.8,557
1771,27.1,85.0,564
1704,22.6,65.7,580
1800,29.3,95.0,585
1775,23.6,74.2,562
1756,21.5,66.3,546
1790,26.9,86.3,591
1802,29.7,96.5,601
1665,21.9,60.7,545
1766,26.9,84.0,582
1805,26.8,87.4,571
1701,25.6,74.0,565
1893,29.8,106.7,592
1805,28.0,91.2,577
1881,20.9,73.8,547
1790,29.5,94.4,584
1876,24.8,87.2,594
1646,24.9,67.4,556
1763,29.3,91.0,577
1924,31.1,115.0,583
1778,22.7,71.8,546
1821,27.1,89.8,587
1869,23.1,80.5,553
1756,23.7,73.1,541
1744,23.1,70.1,554
1718,26.7,78.9,571
1790,23.9,76.5,556
1807,24.8,80.8,568
1777,29.0,91.4,588
1785,22.1,70.4,566
1781,22.6,71.6,583
1857,30.1,103.8,595
1818,24.0,79.3,557
1626,28.9,76.5,567
1759,25.5,78.9,583
1763,29.8,92.6,583
1688,28.9,82.3,564
1835,18.8,63.2,557
1755,22.2,68.4,566
1633,28.0,74.6,528
1677,23.9,67.1,551
1752,23.9,73.3,582
1748,25.6,78.1,574
1806,24.0,78.2,543
1906,34.9,126.7,582
1847,28.7,97.8,575
1661,23.1,63.8,528
1797,29.1,94.1,582
1786,21.7,69.1,552
1810,28.0,91.9,562
1763,22.3,69.2,554
1728,28.0,83.7,552
1808,27.2,88.9,569
1803,24.2,78.6,575
1658,28.2,77.6,556
1609,29.9,77.4,568
1699,20.7,59.6,552
1805,26.0,84.6,576
1778,21.6,68.3,573
1803,30.0,97.6,568
1757,30.2,93.4,580
1705,20.1,58.5,538
1709,27.8,81.3,582
1684,19.8,56.2,557
1712,29.4,86.0,560
1736,24.5,73.9,558
1837,21.2,71.6,572
1798,24.7,79.9,555
1800,32.3,104.7,590
1756,27.2,84.0,588
1835,26.2,88.1,568
1678,25.7,72.3,572
1835,26.6,89.5,574
1673,22.8,63.7,536
1733,31.0,93.0,567
1766,25.9,80.9,580
1813,26.1,85.6,584
1752,26.1,80.0,576
1708,22.3,64.9,551
1763,25.2,78.5,576
1676,24.4,68.5,534
1760,26.9,83.4,551
1685,28.4,80.5,572
1711,28.2,82.5,568
1787,22.5,72.0,563
1812,23.9,78.5,558
1611,25.9,67.3,562
1760,24.9,77.2,574
1710,24.0,70.2,574
1765,24.3,75.6,574
1642,25.0,67.4,551
1715,25.2,74.0,553
1630,26.6,70.8,543
1677,22.9,64.4,557
1626,24.6,65.0,563
1658,32.0,88.0,571
1749,21.8,66.7,542
1711,26.5,77.5,551
1775,29.1,91.5,556
1744,29.1,88.5,566
1755,27.7,85.3,567
1767,23.9,74.7,592
1778,25.9,81.8,567
1653,25.9,70.9,563
1687,21.9,62.4,563
1805,27.8,90.5,581
1749,26.9,82.3,572
1682,27.3,77.3,553
1703,24.8,71.9,563
1868,24.9,86.9,577
1809,32.7,106.9,573
1684,34.8,98.7,565
1855,24.7,85.0,547
1841,22.9,77.5,547
1745,27.4,83.6,569
1830,30.6,102.4,560
1805,27.3,88.9,583
1742,30.4,92.2,580
1812,25.8,84.6,564
1743,23.1,70.0,550
1724,24.5,72.9,574
1757,29.3,90.4,566
1798,27.2,87.9,556
1815,22.4,73.9,540
1765,21.2,66.1,570
1667,20.3,56.5,540
1818,20.5,67.7,556
1713,28.0,82.3,583
1831,21.7,72.8,572
1666,24.9,69.1,547
1778,22.2,70.3,568
1732,23.4,70.1,557
1699,23.3,67.3,551
1797,22.3,72.1,559
1731,24.3,72.8,562
1786,24.0,76.5,556
1762,25.3,78.5,565
1674,28.5,79.9,565
1822,21.2,70.2,562
1708,25.4,74.2,544
1745,29.9,90.9,573
1630,24.3,64.5,557
,,,
