STATURE,BMI,MASS,HEAD_CIRC
1678,30.9,87.1,606
1758,24.6,76.0,558
1638,24.0,64.3,541
1651,21.3,58.0,586
1715,22.1,65.1,560
1671,25.4,71.1,541
1754,29.2,89.7,586
1786,30.0,95.8,575
1942,32.9,124.1,627
1685,23.6,67.0,560
1804,22.5,73.3,554
1759,27.1,83.9,584
1671,27.1,75.6,535
1769,23.3,72.8,581
1683,25.9,73.3,553
1692,23.2,66.4,568
1722,23.5,69.6,575
1628,19.2,50.9,560
1659,24.7,68.1,561
1784,24.6,78.2,557
1727,22.4,66.9,577
1869,23.2,80.9,581
1788,24.6,78.5,590
1830,22.1,74.0,573
1701,31.0,89.7,577
1670,26.9,74.9,569
1729,25.4,76.1,571
1702,25.6,74.0,565
1762,24.7,76.7,581
1706,23.5,68.4,559
1711,26.7,78.2,604
1786,21.5,68.6,555
1806,24.2,78.9,563
1777,28.2,89.0,571
1737,23.6,71.2,539
1804,27.9,90.8,574
1864,30.4,105.8,582
1698,24.9,71.8,536
1710,23.7,69.4,566
1855,29.2,100.4,568
1767,29.6,92.5,579
1842,24.1,81.6,552
1675,29.5,82.9,544
1764,23.1,72.0,580
1724,24.8,73.8,558
1786,27.2,86.6,592
1795,27.2,87.7,589
1731,26.7,80.0,580
1781,23.9,75.9,588
1738,30.7,92.8,583
1763,25.8,80.3,585
1775,29.5,93.1,558
1785,27.8,88.6,569
1822,24.7,81.9,565
1702,25.7,74.4,575
1661,29.1,80.4,554
1695,25.4,72.9,567
1873,22.6,79.2,569
1886,28.3,100.7,581
1819,23.4,77.5,574
1755,25.6,79.0,562
1692,25.4,72.7,563
1761,24.8,76.8,581
1755,23.8,73.2,563
1720,24.3,71.9,584
1842,24.8,84.1,559
1727,21.2,63.3,563
1749,27.6,84.3,557
1693,28.0,80.2,565
1647,21.2,57.6,557
1773,25.1,79.0,551
1796,31.1,100.2,583
1794,26.6,85.6,574
1726,24.1,71.8,570
1736,21.6,65.1,539
1649,24.6,66.8,573
1674,22.1,62.1,561
1703,27.1,78.6,557
1737,26.0,78.5,585
1711,25.7,75.3,574
1615,24.5,63.8,562
1694,27.5,78.8,587
1577,35.0,87.2,615
1793,26.6,85.6,574
1746,29.4,89.7,581
1808,29.5,96.4,564
1712,25.7,75.3,571
1740,28.4,85.9,592
1829,23.7,79.2,555
1652,24.0,65.6,557
1763,24.9,77.5,564
1888,29.5,105.2,588
1725,23.6,70.1,564
1762,28.2,87.6,527
1782,26.4,83.8,553
1798,27.9,90.2,585
1788,24.4,78.1,567
1796,26.0,83.8,587
