STATURE,BMI,MASS,ACROMION_HT
1807,27.1,88.4,1519
1880,29.2,103.3,1589
1853,19.4,66.5,1531
1690,26.3,75.2,1388
1823,20.4,67.8,1493
1628,24,63.6,1317
1755,23.7,73,1448
1856,27.7,95.3,1493
1814,26.6,87.6,1536
1767,22.3,69.6,1454
1796,28.4,91.6,1493
1846,32.7,111.5,1542
1830,28.2,94.6,1521
1728,24.4,72.9,1395
1668,24,66.7,1363
1705,26.8,78,1388
1870,28.1,98.4,1556
1619,29.9,78.5,1332
1762,21.7,67.3,1448
1711,23.3,68.3,1382
1783,24.7,78.6,1456
1783,23.9,76,1466
1742,28.4,86.2,1451
1758,24.4,75.3,1457
1783,30.5,96.8,1470
1761,27.6,85.7,1452
1801,26.6,86.3,1480
1831,30.7,102.9,1518
1707,21.5,62.7,1400
1811,21.2,69.5,1530
1661,21.8,60.2,1362
1727,24.7,73.7,1412
1712,22.3,65.2,1384
1850,22.6,77.3,1515
1745,27.5,83.8,1435
1776,22.9,72.1,1465
1853,25.5,87.7,1539
1772,25.5,80.1,1490
1705,26.9,78.1,1423
1821,27.5,91.2,1504
1706,31,90.2,1395
1769,31.8,99.5,1462
1858,26.3,90.8,1535
1716,25.5,75,1394
1673,23.8,66.6,1353
1747,22.2,67.8,1426
1742,21.5,65.3,1436
1811,26.8,88,1495
1807,25.5,83.4,1488
1560,22.7,55.2,1248
1797,28.2,91.2,1490
1720,24.7,73,1421
1805,22.1,72.1,1482
1676,25.8,72.6,1370
1761,27.5,85.2,1465
1752,26.8,82.2,1437
1785,24.6,78.3,1483
1821,25.6,84.7,1524
1685,29,82.3,1374
1710,30.7,89.7,1424
1797,26.4,85.3,1476
1788,24.3,77.6,1476
1723,24.8,73.6,1429
1802,20.4,66.4,1476
1642,27.4,73.9,1346
1775,31.4,98.8,1476
1775,25.1,79.1,1461
1792,27.5,88.3,1477
1762,23,71.5,1452
1789,23.4,74.7,1469
1759,27,83.6,1459
1726,25.9,77.1,1450
1702,21.8,63,1405
1700,26.6,76.9,1385
1795,26.9,86.5,1481
1840,22.7,77,1514
1831,24.2,81.1,1526
1698,25.4,73.1,1361
1708,29.9,87.3,1415
1703,25.1,72.7,1374
1810,30.8,100.9,1473
1792,26.2,84.1,1480
1710,27.5,80.3,1408
1688,26.4,75.2,1384
1712,24.9,73,1424
1762,25.3,78.6,1462
1793,26,83.6,1466
1746,28.8,87.9,1425
1846,26.3,89.6,1552
1747,21.6,65.9,1439
1755,24.9,76.5,1445
1676,29.7,83.4,1350
1830,24.2,80.9,1490
1683,26.4,74.7,1364
1725,22.7,67.5,1405
1826,27.1,90.5,1507
1744,25.3,76.9,1418
1743,24.9,75.6,1415
1755,23.9,73.6,1429
1722,30.5,90.5,1418
1723,22.9,68.1,1398
1690,19.5,55.7,1387
1727,22.4,66.7,1404
1701,23.4,67.6,1428
1757,25.1,77.5,1451
1703,25,72.5,1389
1857,29.4,101.3,1567
1737,27.6,83.4,1440
1647,26.9,73,1346
1836,23.5,79.3,1524
1805,30.5,99.5,1513
1726,27.3,81.2,1406
1765,26.1,81.2,1443
1725,18.6,55.3,1410
1713,25.8,75.6,1402
1751,29.8,91.2,1442
1723,26.3,78,1386
1671,27.1,75.8,1352
1843,26.9,91.4,1516
1812,33.6,110.3,1517
1745,24.8,75.4,1423
1707,29.9,87,1354
1736,27.4,82.5,1406
1835,22.6,75.9,1510
1825,23.5,78.3,1485
1770,25.2,79,1456
1727,28.2,84,1391
1778,25.8,81.4,1440
1711,29.3,85.8,1405
1902,25.7,93,1578
1728,27.3,81.5,1415
1862,23.1,80.2,1528
1762,27.8,86.3,1451
1812,21.9,72.1,1476
1773,25,78.6,1463
1766,25.3,78.8,1422
1715,25.8,75.9,1396
1663,27.8,76.9,1367
1754,27.5,84.6,1453
1797,25.7,83,1494
1749,24.5,74.9,1446
1846,28.1,95.7,1556
1785,28.1,89.4,1476
1707,27.4,79.8,1396
1755,24,73.8,1420
1806,28,91.3,1469
1628,27.4,72.6,1350
1767,27,84.4,1461
1811,24.6,80.6,1493
1683,24.8,70.1,1392
1703,26.4,76.5,1400
1694,26.2,75.3,1400
1872,29.1,101.9,1575
1627,23.3,61.6,1299
1773,25.6,80.4,1448
1712,23.6,69.3,1403
1792,21.7,69.7,1468
1756,28,86.4,1458
1788,23.6,75.4,1453
1664,27.8,76.9,1370
1760,27.4,85,1444
1728,27.8,82.9,1424
1784,23.6,75.2,1466
1791,26.4,84.8,1488
1759,32.2,99.6,1440
1613,23.2,60.4,1296
1733,23.5,70.6,1410
1723,26,77.2,1430
1699,32,92.5,1418
1636,26.3,70.4,1359
1721,28.8,85.3,1417
1873,26.9,94.2,1562
1724,23.9,71.2,1441
1679,27.6,77.8,1385
1853,27.1,93.1,1540
1821,24.3,80.5,1478
1709,21.3,62.2,1407
1832,26.9,90.2,1491
1847,26.7,91,1506
1834,24,80.6,1497
1732,31.8,95.3,1434
1795,26.2,84.3,1467
1673,31.1,87,1366
1674,30,84.1,1379
1802,25.8,83.9,1494
1721,24,71.1,1414
1844,35,119.1,1538
1728,21.4,64,1424
1694,26.3,75.5,1401
1708,25.8,75.2,1390
1760,22.9,71.1,1434
1774,24.7,77.8,1468
1844,27.3,92.8,1514
1742,26.2,79.6,1426
1774,22.9,72.1,1450
1743,23.9,72.7,1410
1798,26.7,86.4,1496
1832,27.8,93.3,1475
1797,30.2,97.5,1486
1792,30.4,97.5,1492
1713,29.9,87.8,1406
1715,22.1,65,1397
1579,23.4,58.4,1278
1744,25.5,77.5,1422
1757,28,86.5,1447
1684,21.1,59.8,1362
1714,29.4,86.4,1423
1817,28.7,94.9,1500
1678,22.5,63.3,1368
1798,28.1,90.7,1492
1702,26.9,77.8,1400
1793,23.6,76,1438
1694,22.7,65,1382
1698,23.8,68.5,1383
1854,28.9,99.4,1534
1796,26.1,84.1,1457
1858,28.7,99,1517
1842,29.9,101.4,1512
1732,25.9,77.6,1416
1722,22.2,65.9,1382
1675,22.9,64.2,1378
1809,24.1,78.8,1455
1851,24,82.3,1536
1758,20.3,62.8,1436
1694,23.4,67.1,1380
1730,26.4,78.9,1422
1740,22.8,69,1424
1867,21.5,75,1548
1613,28.2,73.5,1292
1734,28.5,85.7,1424
1763,23.6,73.4,1461
1768,21.5,67.3,1434
1790,25.4,81.3,1488
1778,33.6,106.3,1483
1805,23.1,75.4,1464
1734,20.9,62.9,1413
1868,25.3,88.3,1530
1746,26.2,80,1450
1497,25.4,57,1182
1748,24,73.3,1431
1867,32.6,113.6,1550
1670,28.5,79.5,1365
1828,34.2,114.3,1518
1758,23.9,73.8,1423
1673,27.3,76.4,1384
1830,25.6,85.6,1525
1859,24.7,85.2,1507
1738,23.7,71.5,1446
1658,25.9,71.3,1350
1638,21.7,58.2,1323
1769,27.5,85.9,1451
1796,22.4,72.4,1501
1658,23.7,65.2,1355
1670,26.8,74.6,1398
1863,20.8,72.2,1544
1669,26.4,73.4,1384
1665,30.7,85.1,1362
1701,21.7,62.7,1382
1723,25.5,75.6,1415
1744,26.6,81,1418
1732,24.7,74.1,1402
1792,27.7,89.1,1473
1705,25.6,74.5,1397
1775,23,72.4,1443
1676,29.1,81.9,1364
1765,27.3,85,1488
1732,26.3,78.8,1424
2042,20.8,86.6,1704
1719,27.2,80.5,1413
1755,27.6,85.1,1428
1880,23.6,83.3,1568
1880,25.4,89.7,1536
1652,29.7,81,1372
1767,31.1,96.9,1471
1831,30.4,102,1495
1832,27.8,93.3,1521
1843,25.5,86.5,1495
1850,29.4,100.7,1538
1693,28.9,83,1400
1856,30,103.4,1526
1807,23.2,75.7,1466
1796,26.9,86.7,1485
1817,24.2,79.9,1497
1705,20.5,59.6,1359
1757,26.9,83.1,1431
1737,23.9,72,1470
1812,31,101.7,1501
1701,22.3,64.6,1386
1708,23.4,68.3,1382
1780,32.7,103.6,1465
1757,26.9,83.2,1437
1785,30.6,97.3,1470
1762,29,90.1,1493
1668,30.8,85.6,1387
1893,22.7,81.2,1564
1670,22.8,63.7,1375
1826,25.2,84.1,1503
1848,22.4,76.5,1537
1702,27.2,78.8,1391
1841,22.1,74.9,1516
1674,23,64.4,1353
1725,27.7,82.5,1407
1730,26.1,78.1,1417
1701,27.4,79.4,1434
1724,25.9,77.1,1403
1786,26.2,83.7,1471
1774,26.3,82.9,1480
1746,33.9,103.5,1458
1702,34.8,100.8,1412
1845,24.7,84.2,1525
1774,26.7,83.9,1462
1777,25.3,80,1465
1719,29.4,86.8,1419
1756,25.4,78.2,1417
1692,24,68.6,1380
1784,29.3,93.4,1468
1902,20.6,74.7,1569
1804,23.9,77.9,1465
1755,25.6,78.8,1449
1736,22.8,68.6,1430
1690,24.4,69.7,1375
1735,19.8,59.6,1419
1745,27.2,82.8,1438
1700,30.1,87,1401
1786,29.9,95.2,1466
1834,30.9,104.1,1504
1754,28.7,88.2,1457
1832,27.1,90.9,1513
1628,22.6,59.8,1332
1680,20.8,58.8,1378
1728,27.3,81.5,1432
1768,24.9,78,1458
1840,25.3,85.6,1504
1741,27.8,84.4,1425
1843,26.5,89.9,1536
1657,26.5,72.7,1312
1862,27.2,94.2,1538
1787,22.6,72.2,1476
1835,25.5,85.8,1516
1776,22.6,71.2,1488
1826,26,86.8,1493
1620,23,60.4,1318
1847,21,71.7,1508
1796,27,87.2,1490
1818,28.1,92.9,1483
1783,23.3,74.2,1463
1707,22.6,65.7,1397
1791,22.8,73.2,1459
1615,20,52.1,1304
1735,23.3,70.1,1419
1763,24.5,76.2,1420
1683,25.7,72.7,1371
1724,22.3,66.4,1405
1785,25.1,80.1,1457
1693,23.2,66.6,1387
1694,21.4,61.4,1391
1718,24.9,73.4,1428
1733,28.7,86.3,1427
1613,24.8,64.5,1340
1776,23.3,73.6,1480
1700,23.1,66.9,1383
1705,25.2,73.3,1388
1756,27.6,85,1422
1850,23.4,80.1,1497
1785,25.9,82.4,1465
1688,22.6,64.5,1371
1661,23.5,64.9,1366
1830,27,90.3,1509
1910,23.9,87.4,1582
1762,25.7,79.8,1446
1834,27.6,92.7,1512
1767,21.8,68,1421
1706,26.2,76.1,1411
1775,26.4,83.3,1437
1693,22.3,64,1363
1673,23.9,66.9,1349
1715,21.9,64.5,1401
1747,24.1,73.7,1421
1787,22.4,71.5,1478
1743,31.6,96,1458
1693,28.2,80.9,1409
1762,29.3,90.9,1436
1709,26.5,77.5,1410
1810,26.5,86.9,1484
1694,23.2,66.5,1378
1774,28.1,88.4,1464
1788,23.8,75.9,1455
1847,28.2,96.1,1524
1759,26.1,80.6,1452
1725,23.6,70.3,1412
1795,24.7,79.7,1454
1781,24.5,77.7,1458
1705,29.8,86.7,1422
1768,23.2,72.7,1452
1664,20.7,57.3,1333
1744,27.2,82.9,1422
1858,28.9,99.9,1552
1870,25.2,88,1545
1775,22.1,69.7,1456
1763,30.2,93.8,1444
1772,28.9,90.8,1443
1868,24,83.7,1553
1825,25.8,86,1478
1742,24.1,73,1420
1835,20,67.5,1479
1728,29.7,88.7,1424
1600,25.8,65.9,1315
1762,25.6,79.6,1450
1845,27,91.9,1463
1822,28.2,93.8,1512
1769,27.6,86.3,1459
1770,34.5,108,1483
1765,26.1,81.5,1447
1759,24.1,74.6,1436
1646,22.4,60.7,1335
1723,25.5,75.7,1416
1743,26.1,79.4,1430
1737,24.7,74.4,1405
1811,27.7,90.7,1486
1723,26.2,77.8,1404
1711,27.3,79.9,1400
1745,24.7,75.1,1410
1615,24.2,63.1,1314
1775,24.8,78,1443
1687,28.4,80.9,1381
1786,25.9,82.8,1461
1647,20.2,54.8,1336
1765,26.6,82.8,1468
1795,24.9,80.2,1483
1671,27.7,77.4,1376
1825,22.7,75.7,1489
1879,26,91.7,1526
1695,22.5,64.5,1372
1768,26.4,82.6,1465
1734,26.4,79.4,1435
1649,29,78.9,1361
1848,27.3,93.3,1524
1837,22.8,76.9,1528
1792,29.7,95.5,1483
1744,25.2,76.8,1440
1652,18.6,50.8,1354
1596,26.9,68.6,1277
1844,32.7,111.3,1534
1821,30.5,101.1,1525
1656,25.5,69.8,1331
1722,27.7,82,1410
1804,24.3,79.1,1485
1682,26.1,73.9,1407
1820,27.5,91.2,1477
1721,26.8,79.4,1416
1750,28,85.8,1432
1694,27.2,78.2,1383
1712,24,70.4,1399
1801,26.6,86.4,1483
1713,26.8,78.6,1410
1735,18.1,54.6,1403
1702,29.6,85.6,1442
1720,24.6,72.8,1390
1733,28.9,86.9,1405
1838,22.8,77.2,1484
1765,26.9,83.9,1440
1837,20.7,69.7,1514
1704,20.9,60.7,1398
1700,24.8,71.6,1397
1722,21.1,62.7,1405
1712,20.6,60.4,1390
1795,27.1,87.2,1450
1722,20.7,61.5,1402
1742,22.2,67.3,1442
1806,22.9,74.6,1481
1753,27.1,83.3,1435
1754,29.8,91.6,1454
1847,23.9,81.5,1499
1940,21.8,82,1582
1804,24.4,79.5,1504
1773,25.5,80,1458
1718,25.8,76.1,1424
1694,29.6,84.9,1370
1807,23.1,75.4,1489
1710,21.7,63.4,1383
1805,26.4,85.9,1466
1726,26.8,79.8,1398
1841,31.4,106.3,1517
1782,26.3,83.6,1441
1855,27.2,93.6,1525
1717,22.6,66.6,1400
1871,24.5,85.8,1551
1747,23.2,70.7,1444
1756,29.9,92,1444
1738,29.3,88.5,1451
1845,31,105.5,1514
1718,23.4,69.2,1411
1766,24,74.7,1456
1872,28.7,100.6,1552
1743,26.6,80.7,1406
1726,26.2,78,1397
1785,32.1,102.3,1484
1842,28.2,95.8,1500
1774,21.2,66.8,1441
1855,25.1,86.3,1523
1753,27.3,84,1453
1800,25.4,82.4,1448
1820,27.5,91.2,1509
1752,24.6,75.5,1421
1768,22.7,70.9,1454
1734,26,78.2,1446
1836,26.9,90.5,1516
1643,29,78.3,1356
1703,23.7,68.7,1430
1792,23.6,75.8,1476
1835,25.8,86.8,1514
1664,22.3,61.8,1345
1695,26.2,75.4,1387
1685,21,59.7,1342
1820,20.6,68.1,1477
1743,30.7,93.3,1445
1703,28.5,82.8,1374
1694,23.3,66.8,1398
1808,30.5,99.7,1507
1654,20.8,56.8,1323
1915,23.5,86.3,1585
1645,26.7,72.2,1336
1760,27.2,84.3,1464
1754,29.2,89.8,1444
1717,32.2,94.9,1413
1658,33.8,93,1378
1862,27.6,95.7,1560
1791,32.7,105,1476
1738,23.2,70.1,1422
1662,23.8,65.9,1365
1813,23.2,76.4,1484
1786,26.2,83.5,1485
1641,31.9,85.8,1355
1685,30.6,86.9,1391
1739,24.6,74.3,1424
1705,21.2,61.7,1412
1837,26.8,90.3,1491
1698,27.8,80,1406
1725,26,77.5,1421
1897,25.9,93.2,1562
1796,29.4,94.8,1465
1805,25.9,84.3,1469
1728,23.6,70.5,1409
1670,29.1,81.2,1360
1799,28.9,93.5,1471
1771,35.2,110.4,1456
1715,32.3,95,1421
1748,26.7,81.5,1433
1811,23.8,78.1,1479
1828,24.3,81.3,1486
1798,25.7,83.2,1462
1758,23.6,73.1,1453
1865,33.3,115.9,1542
1767,28.2,88.2,1427
1745,25.6,78.1,1435
1695,25.1,72,1370
1823,22.5,74.8,1490
1830,25.7,86.1,1498
1859,26.8,92.7,1522
1678,28.5,80.2,1398
1703,22.6,65.4,1362
1886,29,103,1560
1711,26.4,77.4,1400
1705,25.9,75.3,1415
1850,24.1,82.5,1510
1678,22.6,63.5,1349
1753,24.9,76.7,1437
1746,30.3,92.3,1424
1751,24.8,76.2,1437
1784,22.6,71.8,1471
1836,28,94.5,1533
1834,32.2,108.3,1533
1741,25.1,76,1433
1806,26.4,85.9,1489
1816,24.1,79.5,1464
1900,26.2,94.5,1559
1712,24.8,72.7,1388
1863,24.8,86,1540
1765,24.4,75.9,1490
1755,22.7,69.8,1428
1698,26,74.9,1354
1732,30.4,91,1428
1771,24.5,77,1438
1785,22.3,71,1472
1769,27.4,85.7,1456
1767,26,81.1,1478
1730,24.9,74.4,1433
1721,26.5,78.5,1405
1756,25.4,78.2,1426
1765,26.4,82.3,1444
1712,22.3,65.4,1406
1732,24.2,72.6,1415
1750,26.7,81.9,1466
1660,27.5,75.8,1348
1721,21.7,64.3,1405
1777,21.1,66.7,1460
1820,23.6,78.2,1510
1841,29.4,99.8,1508
1769,24.3,76.1,1452
1792,22.8,73.1,1484
1723,21.8,64.8,1379
1595,25.7,65.4,1294
1775,29.1,91.7,1438
1660,22,60.7,1346
1770,28.9,90.6,1452
1630,23.8,63.2,1328
1834,22.5,75.5,1510
1690,26.1,74.5,1393
1721,28.4,84,1402
1713,22.3,65.4,1393
1763,27.7,86,1415
1700,25.3,73.2,1381
1692,30.7,87.8,1392
1771,27.1,85,1462
1704,22.6,65.7,1392
1800,29.3,95,1483
1775,23.6,74.2,1442
1756,21.5,66.3,1417
1790,26.9,86.3,1470
1802,29.7,96.5,1481
1665,21.9,60.7,1374
1766,26.9,84,1449
1805,26.8,87.4,1476
1701,25.6,74,1394
1893,29.8,106.7,1563
1805,28,91.2,1494
1881,20.9,73.8,1575
1790,29.5,94.4,1461
1876,24.8,87.2,1551
1646,24.9,67.4,1345
1763,29.3,91,1455
1924,31.1,115,1576
1778,22.7,71.8,1450
1821,27.1,89.8,1521
1869,23.1,80.5,1509
1756,23.7,73.1,1458
1744,23.1,70.1,1427
1718,26.7,78.9,1413
1790,23.9,76.5,1479
1807,24.8,80.8,1508
1777,29,91.4,1446
1785,22.1,70.4,1474
1781,22.6,71.6,1446
1857,30.1,103.8,1569
1818,24,79.3,1499
1626,28.9,76.5,1321
1759,25.5,78.9,1437
1763,29.8,92.6,1455
1688,28.9,82.3,1360
1835,18.8,63.2,1544
1755,22.2,68.4,1432
1633,28,74.6,1334
1677,23.9,67.1,1349
1752,23.9,73.3,1442
1748,25.6,78.1,1452
1806,24,78.2,1501
1906,34.9,126.7,1572
1847,28.7,97.8,1536
1661,23.1,63.8,1370
1797,29.1,94.1,1457
1786,21.7,69.1,1484
1810,28,91.9,1496
1763,22.3,69.2,1450
1728,28,83.7,1400
1808,27.2,88.9,1490
1803,24.2,78.6,1468
1658,28.2,77.6,1324
1609,29.9,77.4,1334
1699,20.7,59.6,1375
1805,26,84.6,1458
1778,21.6,68.3,1439
1803,30,97.6,1474
1757,30.2,93.4,1462
1705,20.1,58.5,1412
1709,27.8,81.3,1385
1684,19.8,56.2,1381
1712,29.4,86,1390
1736,24.5,73.9,1422
1837,21.2,71.6,1503
1798,24.7,79.9,1482
1800,32.3,104.7,1485
1756,27.2,84,1429
1835,26.2,88.1,1474
1678,25.7,72.3,1377
1835,26.6,89.5,1516
1673,22.8,63.7,1350
1733,31,93,1430
1766,25.9,80.9,1463
1813,26.1,85.6,1496
1752,26.1,80,1454
1708,22.3,64.9,1386
1763,25.2,78.5,1460
1676,24.4,68.5,1375
1760,26.9,83.4,1434
1685,28.4,80.5,1393
1711,28.2,82.5,1410
1787,22.5,72,1466
1812,23.9,78.5,1496
1611,25.9,67.3,1322
1760,24.9,77.2,1440
1710,24,70.2,1392
1765,24.3,75.6,1446
1642,25,67.4,1346
1715,25.2,74,1391
1630,26.6,70.8,1298
1677,22.9,64.4,1386
1626,24.6,65,1316
1658,32,88,1365
1749,21.8,66.7,1450
1711,26.5,77.5,1415
1775,29.1,91.5,1454
1744,29.1,88.5,1437
1755,27.7,85.3,1455
1767,23.9,74.7,1441
1778,25.9,81.8,1480
1653,25.9,70.9,1338
1687,21.9,62.4,1371
1805,27.8,90.5,1478
1749,26.9,82.3,1427
1682,27.3,77.3,1401
1703,24.8,71.9,1385
1868,24.9,86.9,1558
1809,32.7,106.9,1500
1684,34.8,98.7,1387
1855,24.7,85,1516
1841,22.9,77.5,1488
1745,27.4,83.6,1436
1830,30.6,102.4,1465
1805,27.3,88.9,1488
1742,30.4,92.2,1426
1812,25.8,84.6,1490
1743,23.1,70,1421
1724,24.5,72.9,1399
1757,29.3,90.4,1454
1798,27.2,87.9,1455
1815,22.4,73.9,1482
1765,21.2,66.1,1449
1667,20.3,56.5,1349
1818,20.5,67.7,1480
1713,28,82.3,1401
1831,21.7,72.8,1497
1666,24.9,69.1,1340
1778,22.2,70.3,1433
1732,23.4,70.1,1416
1699,23.3,67.3,1386
1797,22.3,72.1,1483
1731,24.3,72.8,1421
1786,24,76.5,1467
1762,25.3,78.5,1455
1674,28.5,79.9,1360
1822,21.2,70.2,1513
1708,25.4,74.2,1394
1745,29.9,90.9,1422
1630,24.3,64.5,1332
