STATURE,BMI,MASS,ACROMION_HT
1792,27.9,89.6,1503
1839,23.1,78.3,1518
1689,26.5,75.5,1412
1762,22.9,70.9,1459
1756,24.5,75.4,1472
1704,23.7,68.9,1389
1826,25.9,86.2,1477
1723,27.5,81.6,1415
1757,26.9,83.1,1450
1834,26.7,89.9,1524
1751,21.6,66.2,1398
1678,30.9,87.1,1367
1758,24.6,76,1456
1638,24,64.3,1326
1651,21.3,58,1338
1715,22.1,65.1,1427
1671,25.4,71.1,1376
1754,29.2,89.7,1465
1786,30,95.8,1489
1942,32.9,124.1,1648
1685,23.6,67,1414
1804,22.5,73.3,1501
1759,27.1,83.9,1426
1671,27.1,75.6,1335
1769,23.3,72.8,1496
1683,25.9,73.3,1377
1692,23.2,66.4,1367
1722,23.5,69.6,1406
1628,19.2,50.9,1346
1659,24.7,68.1,1362
1784,24.6,78.2,1452
1727,22.4,66.9,1424
1869,23.2,80.9,1523
1788,24.6,78.5,1471
1830,22.1,74,1515
1701,31,89.7,1425
1670,26.9,74.9,1387
1729,25.4,76.1,1430
1702,25.6,74,1400
1762,24.7,76.7,1462
1706,23.5,68.4,1435
1711,26.7,78.2,1430
1786,21.5,68.6,1467
1806,24.2,78.9,1496
1777,28.2,89,1493
1737,23.6,71.2,1392
1804,27.9,90.8,1485
1864,30.4,105.8,1530
1698,24.9,71.8,1379
1710,23.7,69.4,1391
1855,29.2,100.4,1550
1767,29.6,92.5,1458
1842,24.1,81.6,1551
1675,29.5,82.9,1401
1764,23.1,72,1459
1724,24.8,73.8,1468
1786,27.2,86.6,1495
1795,27.2,87.7,1496
1731,26.7,80,1426
1781,23.9,75.9,1499
1738,30.7,92.8,1434
1763,25.8,80.3,1447
1775,29.5,93.1,1471
1785,27.8,88.6,1459
1822,24.7,81.9,1472
1702,25.7,74.4,1384
1661,29.1,80.4,1355
1695,25.4,72.9,1405
1873,22.6,79.2,1557
1886,28.3,100.7,1553
1819,23.4,77.5,1487
1755,25.6,79,1433
1692,25.4,72.7,1395
1761,24.8,76.8,1438
1755,23.8,73.2,1393
1720,24.3,71.9,1377
1842,24.8,84.1,1509
1727,21.2,63.3,1413
1749,27.6,84.3,1459
1693,28,80.2,1372
1647,21.2,57.6,1322
1773,25.1,79,1457
1796,31.1,100.2,1472
1794,26.6,85.6,1486
1726,24.1,71.8,1432
1736,21.6,65.1,1422
1649,24.6,66.8,1363
1674,22.1,62.1,1344
1703,27.1,78.6,1379
1737,26,78.5,1432
1711,25.7,75.3,1385
1615,24.5,63.8,1350
1694,27.5,78.8,1381
1577,35,87.2,1306
1793,26.6,85.6,1466
1746,29.4,89.7,1401
1808,29.5,96.4,1515
1712,25.7,75.3,1395
1740,28.4,85.9,1428
1829,23.7,79.2,1497
1652,24,65.6,1344
1763,24.9,77.5,1411
1888,29.5,105.2,1547
1725,23.6,70.1,1392
1762,28.2,87.6,1456
1782,26.4,83.8,1446
1798,27.9,90.2,1475
1788,24.4,78.1,1468
1796,26,83.8,1492
1758,25,77.3,1450
1814,28.9,95.1,1482
1700,27.8,80.3,1404
1633,23.7,63.3,1319
1684,26.9,76.3,1372
1823,25,83.1,1507
1746,22,67.1,1445
1746,25.2,76.9,1435
1876,22.5,79.2,1600
1820,22.1,73.3,1485
1798,24.9,80.5,1462
1762,27,83.9,1459
1696,27.9,80.1,1410
1643,24.4,65.8,1333
1736,28.7,86.6,1456
1755,25.5,78.5,1452
1791,27.1,86.9,1444
1700,28.9,83.4,1429
1705,27.3,79.4,1368
1752,22.3,68.5,1435
1660,26,71.7,1354
1666,30.4,84.4,1372
1677,21.6,60.9,1345
1652,25.1,68.6,1389
1828,19.9,66.5,1519
1862,25.8,89.4,1557
1774,22.1,69.7,1461
1714,26.8,78.7,1418
1682,24.7,69.8,1376
1653,26.2,71.7,1337
1763,28.5,88.5,1450
1715,27.2,79.9,1405
1775,26.8,84.4,1484
1741,28.3,85.8,1419
1570,22.8,56.1,1278
1784,26.8,85.3,1446
1651,28.4,77.5,1356
1728,28,83.6,1411
1658,25.9,71.1,1362
1638,24.8,66.5,1328
1868,28,97.8,1555
1772,22.2,69.8,1468
1660,22.9,63.2,1375
1643,21.6,58.3,1343
1765,21.4,66.6,1424
1750,25.8,79,1444
1652,31.4,85.7,1340
1798,25.3,81.9,1472
